# columns: SSS BBB CCC PPP MMM
# SimName (with replacables)          BBB.par2       CCC PPP MMM
# Base cosmology, with variations
AbacusAurora_small_cCCC_phPPP_mMMM     Small         000 300 000
# univariates
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 001
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 004
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 005
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 008
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 009
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 011
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 012
# Now onto bivariates
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 020
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 021
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 022
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 023
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 024
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 025
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 026
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 027
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 028
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 029
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 030
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      000 300 031

# Now we'll do other cosmologies

# WMAP
AbacusAurora_small_cCCC_phPPP_mMMM     Small         001 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      001 300 011

# AbS w0wa
AbacusAurora_small_cCCC_phPPP_mMMM     Small         002 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 010
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      002 300 011

# DESI w0wa
AbacusAurora_small_cCCC_phPPP_mMMM     Small         200 300 000
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      200 300 002
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      200 300 003
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      200 300 006
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      200 300 007
AbacusAurora_smallMAP_cCCC_phPPP_mMMM  SmallMAP      200 300 010
