# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulmax_cCCC_phPPP  EmulatorMax      000 300
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      000 301
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      000 302
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     000 303
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     000 304
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     000 305
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     000 306
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     000 307

# WMAP9 cosmology, secondary suite
AbacusAurora_emulmax_cCCC_phPPP  EmulatorMax      001 300
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      001 301
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      001 302
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     001 303
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     001 304
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     001 305
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     001 306
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     001 307

# AbacusSummit w0wa secondary cosmology, secondary suite
AbacusAurora_emulmax_cCCC_phPPP  EmulatorMax      002 300
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      002 301
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      002 302
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     002 303
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     002 304
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     002 305
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     002 306
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     002 307

# Low sigma8, secondary suite
AbacusAurora_emulmax_cCCC_phPPP  EmulatorMax      004 300
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      004 301
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      004 302
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     004 303
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     004 304
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     004 305
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     004 306
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     004 307

# High sigma8, secondary suite
AbacusAurora_emulmax_cCCC_phPPP  EmulatorMax      116 300
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      116 301
AbacusAurora_emulmed_cCCC_phPPP  EmulatorMed      116 302
AbacusAurora_emulslim_cCCC_phPPP EmulatorSlim     116 303
