# columns: SSS BBB CCC PPP
# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      000 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      000 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      000 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     000 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     000 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     000 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     000 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     000 300

# WMAP9 cosmology, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      001 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      001 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      001 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     001 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     001 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     001 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     001 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     001 300

# AbacusSummit w0wa secondary cosmology, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      002 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      002 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      002 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     002 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     002 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     002 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     002 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     002 300

# Low sigma8, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      004 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      004 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      004 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     004 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     004 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     004 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     004 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     004 300

# High sigma8, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      116 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      116 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      116 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     116 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     116 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     116 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     116 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     116 300

# DESI w0wa, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      200 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      200 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      200 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     200 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     200 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     200 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     200 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     200 300

# DESI high-tau, secondary suite
AbacusAurora_emulatormax_cCCC_phPPP  EmulatorMax      201 310
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      201 311
AbacusAurora_emulatormed_cCCC_phPPP  EmulatorMed      201 312
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     201 313
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     201 314
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     201 315
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     201 316
AbacusAurora_emulatorslim_cCCC_phPPP EmulatorSlim     201 300


# Now for the tertiary suite
# Tight uni-parameter deltas, for symmetric derivatives; assure matched phases for each pair
# omega_b
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      100 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  100 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  100 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      101 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  101 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  101 312

# omega_c
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      102 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  102 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  102 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      103 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  103 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  103 312

# n_s
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      104 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  104 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  104 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      105 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  105 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  105 312

# Sigma8
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      112 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  112 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  112 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      113 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  113 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  113 312

# theta_s
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      220 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  220 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  220 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      221 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  221 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  221 312


# Moving to the 4-d sphere.  First the uni-parameter deltas, matching the phases to the tighter set
# sigma8
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      130 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  130 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  130 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      133 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  133 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  133 312

# omega_c
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      131 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  131 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  131 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      134 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  134 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  134 312

# n_s
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      132 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  132 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  132 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      135 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  135 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  135 312

# theta_s
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      222 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  222 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  222 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      223 310
