#num  sigma8cb    ochh      ns     obhh      w0      wa     Nur    nrun   theta_s
#
230  0.880201  0.1288  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
231  0.742509  0.1118  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
232  0.880201  0.1118  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
233  0.742509  0.1288  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
234  0.880201  0.1200  1.0073  0.02237  -1.000   0.000  2.0328   0.000   1.0000
235  0.742509  0.1200  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0000
236  0.880201  0.1200  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0000
237  0.742509  0.1200  1.0073  0.02237  -1.000   0.000  2.0328   0.000   1.0000
238  0.880201  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0141
239  0.742509  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9859
240  0.880201  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9859
241  0.742509  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0141
242  0.811355  0.1288  1.0073  0.02237  -1.000   0.000  2.0328   0.000   1.0000
243  0.811355  0.1118  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0000
244  0.811355  0.1288  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0000
245  0.811355  0.1118  1.0073  0.02237  -1.000   0.000  2.0328   0.000   1.0000
246  0.811355  0.1288  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0141
247  0.811355  0.1118  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9859
248  0.811355  0.1288  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9859
249  0.811355  0.1118  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0141
250  0.811355  0.1200  1.0073  0.02237  -1.000   0.000  2.0328   0.000   1.0141
251  0.811355  0.1200  0.9225  0.02237  -1.000   0.000  2.0328   0.000   0.9859
252  0.811355  0.1200  1.0073  0.02237  -1.000   0.000  2.0328   0.000   0.9859
253  0.811355  0.1200  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0141
254  0.742509  0.1200  0.9649  0.02401  -1.000   0.000  2.0328   0.000   1.0000
255  0.880201  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
256  0.811355  0.1288  0.9649  0.02401  -1.000   0.000  2.0328   0.000   1.0000
257  0.811355  0.1118  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0000
258  0.811355  0.1200  1.0073  0.02401  -1.000   0.000  2.0328   0.000   1.0000
259  0.811355  0.1200  0.9225  0.02237  -1.000   0.000  2.0328   0.000   1.0000
260  0.811355  0.1200  0.9649  0.02401  -1.000   0.000  2.0328   0.000   0.9859
261  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0141
220  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0100
221  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9900
222  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   1.0200
223  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000   0.9800
224  0.811355  0.1200  0.9649  0.02472  -1.000   0.000  2.0328   0.000   1.0000
225  0.811355  0.1200  0.9649  0.02024  -1.000   0.000  2.0328   0.000   1.0000
#  
# ocbhh  Min: 0.1341777742  Max: 0.1528015286   
#       Mean: 0.1426589936 +- 0.005345878657   Median: 0.1423700005 +- 0.001214091317
#  
# sigma8cb  Min: 0.7425092459  Max: 0.8802007437   
#       Mean: 0.8113549948 +- 0.04234872013   Median: 0.8113549948 +- 0
#  
# ochh  Min: 0.111807771  Max: 0.1287924647   
#       Mean: 0.1201105639 +- 0.005225912202   Median: 0.1199999973 +- 0
#  
# ns  Min: 0.9224736094  Max: 1.007326365   
#       Mean: 0.9648999572 +- 0.02609751187   Median: 0.9649000168 +- 0
#  
# obhh  Min: 0.02024121396  Max: 0.02472267114   
#       Mean: 0.02254842408 +- 0.0007278842968   Median: 0.02236999944 +- 0
